video_id,title,description,channel,published_at,tags,thumbnail_url,view_count,like_count,comment_count,search_keyword,collected_at
eyLXX0iDzn0,Immersive Twilight | A Ukraine War Story – The Story of Artjom Song Teaser #UkraineWarStory #Hope,"Immersive Twilight | A Ukraine War Story – The Story of Artjom
Ein kurzer Einblick in die bewegende Geschichte von Artjom, der zwischen Heimat und Krieg zerrissen ist. Kraftvoller Teenrock trifft auf echte Emotionen und Hoffnung.

🎸 Für Mut, Liebe und Zusammenhalt
💚 Slava Ukraini!
▶️ Hier geht’s zum vollständigen Song: https://youtu.be/wEWgdZmG_Wk

English:
Immersive Twilight | A Ukraine War Story – The Story of Artjom
A brief glimpse into the moving story of Artjom, torn between home and war. Powerful teen rock meets real emotion and hope.
🎸 For courage, love, and unity
💚 Slava Ukraini!
▶️ Full Song: https://youtu.be/wEWgdZmG_Wk

#ImmersiveTwilight #UkraineWarStory #Shorts #SlavaUkraini #Hope #EmotionalRock #Peaceforukraine",XxA,2026-04-14T03:04:20Z,,https://i.ytimg.com/vi/eyLXX0iDzn0/hqdefault.jpg,0,0,0,Ukraine war,2026-04-14T08:34:50.074837
e-tlerMq0Kc,What Hungary’s Orbán Landslide Defeat Means for MAGA and Ukraine War,"President Donald Trump’s staunch ally, Prime Minister Viktor Orbán, suffered a landslide defeat in Hungary’s election, ending his 16-year rule as Péter Magyar’s party won 53.6% of votes.

#wsj #hungary #europe #trump",The Wall Street Journal,2026-04-14T02:34:53Z,,https://i.ytimg.com/vi/e-tlerMq0Kc/hqdefault.jpg,1614,33,0,Ukraine war,2026-04-14T08:34:50.074864
9PGzB86mhwQ,"Russia-Ukraine War Update: Ceasefire Collapses, Deep Strikes","The Easter ceasefire in the Russia-Ukraine war has ended, and this rapid war brief breaks down the most important confirmed developments from the last 12 hours. If you want a clear, high-credibility battlefield update focused on military relevance rather than headlines, this video covers what changed, what was struck, and why it matters.

This update begins with the collapse of the ceasefire. Russia announced the truce, but Ukraine's General Staff reported 10,721 Russian violations, including more than 1,000 artillery strikes and thousands of drone attacks. Russia, in turn, claimed 6,558 Ukrainian violations. The central takeaway is clear: the ceasefire failed, and active combat operations have resumed.

The video then covers Russia's immediate return to large-scale drone warfare. Overnight, 98 drones were launched. Ukrainian air defenses reportedly intercepted 87 of them, an 89 percent intercept rate, but nine still penetrated defenses. One confirmed strike hit an energy facility in Chernihiv, cutting power to 12,000 residents. That matters because attacks on energy infrastructure are designed not only to damage the grid, but also to strain civilian resilience and force resource diversion behind the front.

On the Ukrainian side, the brief highlights a deep strike inside Russia. Geolocated footage reportedly confirms fires at the Cherepovets Azot chemical plant in Vologda Oblast, more than 1,200 kilometers from the front line. Geolocated footage means visual evidence has been matched to a specific real-world location, making the claim more credible. The plant produces ammonia, which is a key chemical precursor used in the production chain for explosives. If damage is confirmed at scale, the strike could carry operational significance beyond symbolism by affecting industrial support for Russia's war effort.

The briefing also points to a major political development in Europe: Viktor Orban's loss in Hungary. In plain terms, this could weaken Russia's most reliable veto-friendly position inside the European Union. While this is not a battlefield event, it matters strategically because EU unity influences sanctions, aid, and the broader political environment surrounding the war.

Key developments covered in this brief:
- The Easter ceasefire collapsed, with both sides accusing each other of thousands of violations.
- Russia launched 98 drones overnight, with most intercepted but some getting through.
- A confirmed strike on Chernihiv energy infrastructure left 12,000 residents without power.
- Ukraine appears to have struck the Cherepovets Azot chemical plant deep inside Russia.
- Political shifts in Hungary may reduce Russia's leverage inside the European Union.

The brief closes by identifying what to watch next: possible Russian follow-on strikes, satellite confirmation of the Cherepovets fire, and any front-line movement near Lyman. Those indicators will help show whether this is simply a return to routine combat tempo or the start of a broader new phase after the failed truce.

If you found this helpful, consider subscribing for more clear, fact-focused war updates.","Nate ""Vandal"" Mercer",2026-04-14T01:16:47Z,cherepovets azot|chernihiv strike|deep strike russia|easter ceasefire|european union politics|lyman front|military analysis|russia ukraine war|russian drone strikes|ukraine war update|viktor orban|war brief daily,https://i.ytimg.com/vi/9PGzB86mhwQ/hqdefault.jpg,66,4,0,Ukraine war,2026-04-14T08:34:50.074871
F0fNhR06wOE,Без слів але все зрозуміло #зсу #ukraine #war #military #soldier #славазсу #ukrainewar,,780 Days,2026-04-14T01:00:11Z,,https://i.ytimg.com/vi/F0fNhR06wOE/hqdefault.jpg,1094,161,1,Ukraine war,2026-04-14T08:34:50.074876
jNd8ztvftwg,1 week real time so far  🏴󠁧󠁢󠁥󠁮󠁧󠁿Ukraine war 🇬🇧🫡new mods,"KILL EVERYTHING FOR THE EMPEROR , TRY AND SAVE THE CHILDREN",OBH-CHAOS,2026-04-14T00:39:34Z,#HELLDIVERS2_#hero_#adhd_#ptsd_#games_|#PS5Live|#Spacemarine2|#armareforger|#chaosdivers_#starshiptroopers|#expedition_33|Arma Reforger|PlayStation 5|Sony Interactive Entertainment|armareforger,https://i.ytimg.com/vi/jNd8ztvftwg/hqdefault.jpg,2,1,0,Ukraine war,2026-04-14T08:34:50.074880
48WazYwzI8c,Hungary’s New PM Urges Putin: End Ukraine War Now!! #shorts,Hungary’s New PM Urges Putin: End Ukraine War Now!! #shorts,Russia Latest News 24x7,2026-04-14T00:00:11Z,shorts,https://i.ytimg.com/vi/48WazYwzI8c/hqdefault.jpg,1088,5,0,Ukraine war,2026-04-14T08:34:50.074919
Zb8iwy1RVEM,Putin’s Power Crumbles as NATO Expands and Ukraine War Stalls 🚨,"Vladimir Putin faces mounting pressure as his global influence weakens and key strategic goals unravel. Instead of stopping NATO expansion, the alliance has grown stronger with Finland and Sweden joining, while Russia’s influence across Europe continues to decline.
At the same time, battlefield losses in Ukraine keep rising, with limited territorial gains — raising serious questions about the long-term outcome of the war and Russia’s position on the global stage.
#Putin #Russia #UkraineWar #NATO #Geopolitics #WorldNews #BreakingNews #Europe #Finland #Sweden #InternationalRelations #GlobalTensions #Politics #WarUpdate",LENOFILES,2026-04-13T23:39:19Z,shorts|geopolitics|BreakingNews,https://i.ytimg.com/vi/Zb8iwy1RVEM/hqdefault.jpg,1123,5,0,Ukraine war,2026-04-14T08:34:50.074924
MYrp5B6nmoM,Update from Ukraine | Awesome News from Lyman Direction! Ukraine Nails it!,"🔥 Support Pilot Blog on Patreon! 
https://www.patreon.com/PilotBlog
❤️  Buy me a coffee: https://www.buymeacoffee.com/davydoff
 ✈️ Find me on PayPal :aviatorssecretary@gmail.com

✈ Denys Davydov Telegram Channel: 
https://t.me/pilotblog

✈ My Twitch: https://www.twitch.tv/captdeny
✈ My Substack: https://substack.com/@sumotergeo840787
✈ My Facebook Group: https://www.facebook.com/groups/1334280468538383/

Military map: taplink.cc/majakovsk73 
Military analytics: https://twitter.com/NOELreports

✈ My Instagram: @denys_pilot

✈ My new channel:
https://www.youtube.com/@DDWorldForyou

You may check the military map here: https://militaryland.net/
https://deepstatemap.live/
 MapTiler map link is https://www.maptiler.com/

My name is Denys, and I am Boeing 737 Captain. Before I used to fly ATR 42/72. 
I am making the videos on this Pilot Blog channel to encourage people all around the world to join our aviation community. 
Here you'll see interesting aviation videos from pilot's perspective. Enjoy:)",Denys Davydov,2026-04-13T22:26:33Z,Pilot|Pilot Blog|Blog|Airline|Vlog|Ukraine|War|Russia|Update|Life|world map|ukraine war map|ukraine map|azovstal|ukraine invasion map|Drone|R18|Drone DJI|DJI MAVIC 3|MAVIC|mapping|telegram channel|peter zeihan|Operator Starky|Invation|Denys Davydov|Wins|Victory|Trump|Biden|Debate,https://i.ytimg.com/vi/MYrp5B6nmoM/hqdefault.jpg,94917,18671,368,Ukraine war,2026-04-14T08:34:50.074929
eXepiSl41oc,Ukraine war in a Nutschell #viral #countryballs,Entertainment only,Geraulippines Ball ,2026-04-13T20:03:27Z,,https://i.ytimg.com/vi/eXepiSl41oc/hqdefault.jpg,1047,13,1,Ukraine war,2026-04-14T08:34:50.074932
uKz2dmuJ_iw,Ukraine Is HIDING the Most TERRIFYING Weapon That Will Win the War,"Something unseen is reshaping the war in Ukraine. Russian sources are sounding the alarm about a new generation of drones—faster, autonomous, and nearly impossible to detect or stop. These AI-powered weapons are disrupting logistics, bypassing electronic warfare, and striking without warning. Ukraine remains silent, but the battlefield tells a different story. What are these “Martian” drones, and how are they changing everything? The answer may reveal where this war is really heading…

The appearance of U.S. Department of Defense visual information on the WarLeaks - The Military Show does not imply or constitute Department of Defense endorsement.

Support us directly as we bring you independent, up-to-date reporting on military news and global conflicts by clicking here: 

#militarystrategy #militarydevelopments #militaryanalysis
#themilitaryshow

SOURCES: https://pastebin.com/GPuH2Xrs",The Military Show,2026-04-13T19:00:51Z,military|navy|army|air force|news|russia news|ukraine news|ukraine|russia|military news,https://i.ytimg.com/vi/uKz2dmuJ_iw/hqdefault.jpg,191988,7837,304,Ukraine war,2026-04-14T08:34:50.074937
