title,summary,link,published,source,source_type,credibility,collected_at
US military says blockade of Iran ports ‘completely’ halts economic trade,"US Central Command say more than 10,000 armed forces members, as well as warships and planes, are involved in blockade.",https://www.aljazeera.com/economy/2026/4/15/us-military-says-blockade-of-iran-ports-completely-halts-economic-trade?traffic_source=rss,"Wed, 15 Apr 2026 05:17:44 +0000",Al Jazeera,rss,0.88,2026-04-15T11:18:58.892242
US forces kill 4 people in latest strike on vessels in eastern Pacific,The killings mark the fourth US deadly strike in the past four days on vessels in the eastern Pacific Ocean.,https://www.aljazeera.com/news/2026/4/15/us-forces-kill-4-people-in-latest-strike-on-vessels-in-eastern-pacific?traffic_source=rss,"Wed, 15 Apr 2026 02:54:08 +0000",Al Jazeera,rss,0.88,2026-04-15T11:18:58.892271
Israel and Lebanon hold direct talks for first time in decades,"After the first direct talks in decades, Israel and Lebanon have agreed to begin negotiations.",https://www.aljazeera.com/video/newsfeed/2026/4/15/israel-and-lebanon-hold-direct-talks-for-first-time-in-decades?traffic_source=rss,"Wed, 15 Apr 2026 01:47:29 +0000",Al Jazeera,rss,0.88,2026-04-15T11:18:58.892278
"Israeli attacks kill 11, including two children, in day of strikes on Gaza",A three-year-old and a 14-year-old were among those killed in Israel&#039;s latest strikes on northern Gaza.,https://www.aljazeera.com/news/2026/4/15/israeli-attacks-kill-11-including-two-children-in-day-of-strikes-on-gaza?traffic_source=rss,"Wed, 15 Apr 2026 01:16:20 +0000",Al Jazeera,rss,0.88,2026-04-15T11:18:58.892283
Iran war live: Trump says war ‘close to over’ as Hormuz blockade continues,US president says second round of talks could be held in Pakistan as naval blockade of Iranian ports continues.,https://www.aljazeera.com/news/liveblog/2026/4/15/iran-war-live-trump-hints-at-second-round-of-talks-israel-pounds-lebanon?traffic_source=rss,"Wed, 15 Apr 2026 00:00:00 +0000",Al Jazeera,rss,0.88,2026-04-15T11:18:58.892296
"Israel and Lebanon hold rare talks in Washington, DC, amid Iran war","The meeting marks the first direct talks between the two sides, though US officials say more time is needed.",https://www.aljazeera.com/news/2026/4/14/israel-and-lebanon-hold-rare-talks-in-washington-dc-amid-iran-war?traffic_source=rss,"Tue, 14 Apr 2026 23:08:43 +0000",Al Jazeera,rss,0.88,2026-04-15T11:18:58.892314
The Take: Who is keeping the fight alive in Sudan’s war?,What three years of war have done to Sudan.,https://www.aljazeera.com/video/the-take-2/2026/4/14/aje-onl-sdn_anniversary26_av_v2-140426?traffic_source=rss,"Tue, 14 Apr 2026 22:59:50 +0000",Al Jazeera,rss,0.88,2026-04-15T11:18:58.892319
Israeli attack kills several people in Gaza refugee camp,Palestinians in Gaza recorded victims of an Israeli strike on the Shati refugee camp being rushed to a medical facility.,https://www.aljazeera.com/video/newsfeed/2026/4/14/israeli-attack-kills-several-people-in-gaza-refugee-camp?traffic_source=rss,"Tue, 14 Apr 2026 20:35:55 +0000",Al Jazeera,rss,0.88,2026-04-15T11:18:58.892341
How US blockade on Iran will worsen energy crisis,"With the US military blockade of Iranian ports now in force, global energy markets are already reacting.",https://www.aljazeera.com/video/newsfeed/2026/4/14/how-us-blockade-on-iran-will-worsen-energy-crisis?traffic_source=rss,"Tue, 14 Apr 2026 20:10:34 +0000",Al Jazeera,rss,0.88,2026-04-15T11:18:58.892365
Why are global views of the US getting worse?,We discuss the global standing of the US after launching war against Iran and years of worsening views of the nation.,https://www.aljazeera.com/video/the-stream/2026/4/14/why-are-global-views-of-the-us-getting-worse?traffic_source=rss,"Tue, 14 Apr 2026 19:30:00 +0000",Al Jazeera,rss,0.88,2026-04-15T11:18:58.892383
