title,description,content,source,author,url,published_at,image_url,search_keyword,collected_at
"Russia, Ukraine trade accusations of Orthodox Easter ceasefire violations","Russia and Ukraine traded accusations over ceasefire violations during Orthodox Easter. Both sides reported numerous drone and shelling attacks. The truce, intended for Orthodox Easter, saw continued fighting. Russia called it a humanitarian gesture, while Uk…","Moscow: Russia and Ukraine accused each other L1N40U064 on Sunday of breaching the 32-hour ceasefire L1N40S124 in their four-year war, reporting more than a thousand drone and shelling attacks just h… [+2771 chars]",The Times of India,Reuters,https://economictimes.indiatimes.com/news/international/world-news/russia-ukraine-trade-accusations-of-orthodox-easter-ceasefire-violations/articleshow/130223360.cms,2026-04-13T02:37:16Z,"https://img.etimg.com/thumb/msid-130223380,width-1200,height-630,imgsize-408622,overlay-economictimes/articleshow.jpg",Ukraine war,2026-04-14T08:34:54.800773
"Bitcoin dips to $70.6K, oil rises after US announces Hormuz blockade","Bitcoin retraced below $71,000 after failed peace talks between the US and Iran led the Trump administration to block the Strait of Hormuz, sending oil prices up nearly 10%.","Bitcoin fell as low as $70,623 on Sunday after the US announced a blockade of the Strait of Hormuz following failed peace talks with Iran.
The price of Bitcoin (BTC) initially fell 1.9% to $71,686 a… [+1819 chars]",Cointelegraph,Cointelegraph by Brayden Lindrea,https://cointelegraph.com/news/bitcoin-falls-oil-rises-us-to-block-strait-of-hormuz,2026-04-13T01:48:59Z,"https://images.cointelegraph.com/cdn-cgi/image/f=auto,onerror=redirect,w=1200/https://s3.cointelegraph.com/uploads/2026-03/019cdd64-1d48-7dc0-86af-fe4bdda10305.jpg",Ukraine war,2026-04-14T08:34:54.800787
"Russia Blasts Through Ukraine Cease-Fire, as Trump-Backed Talks Drift - WSJ","Russia Blasts Through Ukraine Cease-Fire, as Trump-Backed Talks DriftWSJ Ukraine war briefing: Easter truce expires as both sides accuse the other of violationsThe Guardian Russian Offensive Campaign Assessment, April 11, 2026Institute for the Study of War Uk…",The Fine Print: The following comments are owned by whoever posted them. We are not responsible for them in any way.,Slashdot.org,feedfeeder,https://slashdot.org/firehose.pl?op=view&amp;id=181658096,2026-04-13T01:12:48Z,,Ukraine war,2026-04-14T08:34:54.800791
India ramps up Russian oil imports as sanctions threat begins to fade,Indian refiners are boosting Russian crude oil imports. This surge is driven by supply disruptions in the Middle East and a reduced threat of US sanctions. Executives expect these high purchase levels to continue for the remainder of the year. India is priori…,"Indian refiners have splurged on Russian crude in the last two months and expect to continue buying at current lofty levels for the rest of the year, as the country navigates a Middle East supply cru… [+3169 chars]",The Times of India,Bloomberg,https://economictimes.indiatimes.com/wealth/invest/india-ramps-up-russian-oil-imports-as-sanctions-threat-begins-to-fade/articleshow/130173899.cms,2026-04-13T01:00:00Z,"https://img.etimg.com/thumb/width-1200,height-900,imgsize-45014,resizemode-75,msid-130173899/wealth/invest/india-ramps-up-russian-oil-imports-as-sanctions-threat-begins-to-fade.jpg",Ukraine war,2026-04-14T08:34:54.800793
Hungarian PM Viktor Orban ejected after 16 years in a European electoral earthquake,"Hungarian voters ousted long-serving Prime Minister Viktor Orban, ending his 16-year authoritarian rule in a stunning election result. Pro-European challenger Peter Magyar, who campaigned against corruption, has pledged to rebuild ties with the EU and NATO, t…","Hungarian voters on Sunday ousted long-serving Prime Minister Viktor Orban after 16 years in power, rejecting the authoritarian policies and global far-right movement that he embodied in favor of a p… [+6336 chars]",The Times of India,AP,https://economictimes.indiatimes.com/news/international/global-trends/hungarian-pm-viktor-orban-is-ejected-after-16-years-in-a-european-electoral-earthquake/articleshow/130222497.cms,2026-04-13T00:37:27Z,"https://img.etimg.com/thumb/msid-130222500,width-1200,height-630,imgsize-201980,overlay-economictimes/articleshow.jpg",Ukraine war,2026-04-14T08:34:54.800795
Illiberalism Is Not Inevitable,"If Viktor Orbán can lose, then his Russian and American admirers can lose too.","In the end, the defeat of Viktor Orbán, Hungary’s autocratic prime minister, required not just an ordinary election campaign or new messaging but rather the construction of a broad, diverse, and patr… [+6647 chars]",The Atlantic,Anne Applebaum,https://www.theatlantic.com/ideas/2026/04/illiberalism-not-inevitable/686778/,2026-04-13T00:24:27Z,https://cdn.theatlantic.com/thumbor/LV5vsSx39DX6twqrb1RDwYk9f2g=/0x43:2000x1085/1200x625/media/img/mt/2026/04/2026_04_12_hungarian_election/original.jpg,Ukraine war,2026-04-14T08:34:54.800798
"When crisis hits, billionaires don’t exit—they find new asset classes. Like, art.","Cyrus Poonawalla’s record-breaking purchase of a Raja Ravi Varma masterpiece highlights the resilience of India’s secondary art market, which continues to grow despite global geopolitical uncertainty. High-net-worth collectors increasingly view blue-chip art …","The auction of the late-19th-century oil painting demolished the previous record set by MF Husains Untitled (Gram Yatra) last year, when it was sold to philanthropist Kiran Nadar for about 118 crore.… [+4582 chars]",Livemint,"Varuni Khosla, Sneha Shantikumar Shah, Devina Sengupta",https://www.livemint.com/industry/indian-art-market-thrives-record-sales-global-chaos-investment-asset-11775975878156.html,2026-04-13T00:15:54Z,https://www.livemint.com/lm-img/img/2026/04/12/1600x900/logo/PTI04-02-2026-000111B-0_1776005122827_1776005184946.jpg,Ukraine war,2026-04-14T08:34:54.800800
"Airpower, Attrition, and Great-Power Competition",Operation Epic Fury—the joint US–Israel military campaign launched against Iran following the death of Supreme Leader Ali Khamenei and numerous other senior political and military leaders—represents a critical test of prevailing intimidation strategies by gre…,Operation Epic Furythe joint USIsrael military campaign launched against Iran following the death of Supreme Leader Ali Khamenei and numerous other senior political and military leadersrepresents a c… [+10068 chars],Khabarhub.com,Binoj Basnyat,https://english.khabarhub.com/2026/13/543788/,2026-04-13T00:05:26Z,https://english.khabarhub.com/wp-content/uploads/2026/04/Khabar-Hub-Article_Binoj-Basnyat_1200px-630X-px-Final_2026.04.12-Upload.jpg,Ukraine war,2026-04-14T08:34:54.800802
Voters turn out massively to oust Hungarian Prime Minister Viktor Orbán who was endorsed by Trump,"'Remember this, he didn't allow people to storm your country and invade your country like other people have'","Hungarian Prime Minister Viktor Orbán greets Vice President JD Vance and members of the U.S. delegation in the West Wing Lobby of the White House, Friday, Nov. 7, 2025, before a meeting with Presiden… [+7350 chars]",Wnd.com,Daily Caller News Foundation,https://www.wnd.com/2026/04/voters-turn-massively-oust-hungarian-prime-minister-viktor/,2026-04-12T23:54:05Z,https://www.wnd.com/wp-content/uploads/2026/03/viktor-orban-hungary-donald-trump-pete-hegseth-marco-rubio-jd-vance-laughing.jpg,Ukraine war,2026-04-14T08:34:54.800805
Britain Faces Another Lost Year for Living Standards Due to Iran War,"A typical UK household will be left nearly £500 ($672) worse off by surging energy prices, a setback for Prime Minister Keir Starmer’s pledge to boost living standards.","(Bloomberg) A typical UK household will be left nearly £500 ($672) worse off by surging energy prices, a setback for Prime Minister Keir Starmers pledge to boost living standards.
THIS CONTENT IS RE… [+4726 chars]",Financial Post,Bloomberg News,https://financialpost.com/pmn/business-pmn/britain-faces-another-lost-year-for-living-standards-due-to-iran-war,2026-04-12T23:21:22Z,https://smartcdn.gprod.postmedia.digital/financialpost/wp-content/uploads/2026/04/iran-war-could-derail-recovery-in-uk-living-standards.jpg,Ukraine war,2026-04-14T08:34:54.800807
