title,description,content,source,author,url,published_at,image_url,search_keyword,collected_at
"Armenian Needlelace Initiative, WWII Hawaii Correspondence, Take-Two, More: Sunday Afternoon ResearchBuzz, April 12, 2026","NEW RESOURCES Armenian Weekly: Armenian Needlelace Initiative launched. “The Armenian Needlelace Initiative is the first comprehensive website supporting Armenian needlelace traditions by encouraging learning and making, fostering connection across scattered …","NEW RESOURCES 
Armenian Weekly: Armenian Needlelace Initiative launched. “The Armenian Needlelace Initiative is the first comprehensive website supporting Armenian needlelace traditions by encouragi… [+4363 chars]",Researchbuzz.me,ResearchBuzz,https://researchbuzz.me/2026/04/12/armenian-needlelace-initiative-wwii-hawaii-correspondence-take-two-more-sunday-afternoon-researchbuzz-april-12-2026/,2026-04-12T18:54:05Z,https://s0.wp.com/_si/?t=eyJpbWciOiJodHRwczpcL1wvczAud3AuY29tXC9pXC9ibGFuay5qcGciLCJ0eHQiOiJSZXNlYXJjaEJ1enoiLCJ0ZW1wbGF0ZSI6ImhpZ2h3YXkiLCJmb250IjoiIiwiYmxvZ19pZCI6NDMyODc1Nn0.BjdcPIDlw4ZG0Ki13B-quwxnrzAxn9iB5rJXagRMNlcMQ,Ukraine war,2026-04-14T00:25:50.254842
"Hungarian Prime Minister Viktor Orbán concedes defeat after 'painful' election result, ending 16 years in power","Hungarian Prime Minister Viktor Orbán conceded defeat on Sunday after what he called a ″painful″ election result, ending 16 years in power.","BUDAPEST, Hungary (AP) Hungarian Prime Minister Viktor Orbán conceded defeat on Sunday after what he called a painful election result, ending 16 years in power for a powerful figure in the far-right … [+8528 chars]",PBS,"Justin Spike, Associated Press, Sam McNeil, Associated Press",https://www.pbs.org/newshour/world/hungarian-prime-minister-viktor-orban-concedes-defeat-after-painful-election-result-ending-16-years-in-power,2026-04-12T18:15:56Z,https://d3i6fh83elv35t.cloudfront.net/static/2026/04/2026-04-12T071841Z_42472636_RC2INKA7BEKE_RTRMADP_3_HUNGARY-ELECTION-1024x694.jpg,Ukraine war,2026-04-14T00:25:50.254851
Early results in Hungary's election show opposition party leading and Prime Minister Orbán's trailing,"Hungarians cast ballots Sunday in Europe's most consequential election this year, setting a record turnout in a vote that could unseat populist Prime Minister Viktor Orbán after 16 years in power.","BUDAPEST, Hungary (AP) Early official results in Hungary's election on Sunday show Péter Magyar 's opposition party leading and longtime Prime Minister Viktor Orbán's party trailing, in a vote with r… [+7572 chars]",PBS,"Justin Spike, Associated Press, Sam McNeil, Associated Press",https://www.pbs.org/newshour/world/early-results-in-hungarys-election-show-opposition-party-leading-and-prime-minister-orbans-trailing,2026-04-12T18:15:56Z,https://d3i6fh83elv35t.cloudfront.net/static/2026/04/2026-04-12T071841Z_42472636_RC2INKA7BEKE_RTRMADP_3_HUNGARY-ELECTION-1024x694.jpg,Ukraine war,2026-04-14T00:25:50.254853
"Hungarian Prime Minister Viktor Orbán ousted after 'painful' election result, ending 16 years in power","Hungarian voters on Sunday ousted long-serving Prime Minister Viktor Orbán after 16 years in power, rejecting the authoritarian policies and global far-right movement that he embodied in favor of a pro-European challenger.","BUDAPEST, Hungary (AP) Hungarian voters on Sunday ousted long-serving Prime Minister Viktor Orbán after 16 years in power, rejecting the authoritarian policies and global far-right movement that he e… [+6929 chars]",PBS,"Justin Spike, Associated Press, Sam McNeil, Associated Press",https://www.pbs.org/newshour/world/hungarian-prime-minister-viktor-orban-ousted-after-painful-election-result-ending-16-years-in-power,2026-04-12T18:15:56Z,https://d3i6fh83elv35t.cloudfront.net/static/2026/04/2026-04-12T071841Z_42472636_RC2INKA7BEKE_RTRMADP_3_HUNGARY-ELECTION-1024x694.jpg,Ukraine war,2026-04-14T00:25:50.254855
Polling stations close in pivotal Hungary election that could unseat long-time Prime Minister Orbán,"Hungarians cast ballots Sunday in Europe's most consequential election this year, setting a record turnout in a vote that could unseat populist Prime Minister Viktor Orbán after 16 years in power.","BUDAPEST, Hungary (AP) Hungarians cast ballots Sunday in what is seen as Europe's most consequential election this year, setting a record turnout in a vote that could unseat populist Prime Minister V… [+6807 chars]",PBS,"Justin Spike, Associated Press, Sam McNeil, Associated Press",https://www.pbs.org/newshour/world/polling-stations-close-in-pivotal-hungary-election-that-could-unseat-long-time-prime-minister-orban,2026-04-12T18:15:56Z,https://d3i6fh83elv35t.cloudfront.net/static/2026/04/2026-04-12T071841Z_42472636_RC2INKA7BEKE_RTRMADP_3_HUNGARY-ELECTION-1024x694.jpg,Ukraine war,2026-04-14T00:25:50.254857
WATCH: 23-story Miami hotel demolished to make way for new development,Crowds gathered to watch the controlled implosion of the 23-story former Mandarin Oriental hotel on Brickell Key in Miami on Sunday.,"<ul><li>US says no agreement made with Iran after 21 hours of negotiations
</li><li>Slashing suspect shot and killed in Grand Central station
</li><li>Growing calls for Rep. Eric Swalwell to end bi… [+4382 chars]",Abcnews.com,ABC News,https://abcnews.com/video/131973495/,2026-04-12T17:54:06Z,https://i.abcnewsfe.com/a/7ce0dab7-b507-469a-afec-1e6a5e1ca2fb/260412_abc_social_miami_demo_hpMain_9x16.jpg?w=992,Ukraine war,2026-04-14T00:25:50.254858
Ukraine and Russia accuse each other of hundreds of ceasefire violations - BBC,"Ukraine and Russia accuse each other of hundreds of ceasefire violationsBBC Russian Offensive Campaign Assessment, April 11, 2026Institute for the Study of War Russia and Ukraine accuse each other of Easter ceasefire violationsPBS Ukraine and Russia accuse ea…",The Fine Print: The following comments are owned by whoever posted them. We are not responsible for them in any way.,Slashdot.org,feedfeeder,https://slashdot.org/firehose.pl?op=view&amp;id=181644922,2026-04-12T17:12:51Z,,Ukraine war,2026-04-14T00:25:50.254860
Russia and Ukraine trade accusations of Orthodox Easter ceasefire violations,"Both sides reported more than 1,000 drone and shelling attacks after the 32-hour truce began on ​Saturday","Russia and Ukraine accused each other on Sunday of breaching the 32-hour ceasefire in their four-year war, reporting more than 1,000 drone and shelling attacks just hours after the truce began on Sat… [+1725 chars]",The Irish Times,,https://www.irishtimes.com/world/europe/2026/04/12/russia-and-ukraine-trade-accusations-of-orthodox-easter-ceasefire-violations/,2026-04-12T17:00:46Z,https://www.irishtimes.com/resizer/v2/M7KI42O27RVZPTDLRFRMINYXBQ.jpg?smart=true&auth=997f54e6db1e95ab03ed2b23e62ed8c2225f859d9b366c9ed4190d71a107debb&width=1200&height=630,Ukraine war,2026-04-14T00:25:50.254861
Russia and Ukraine accuse each other of Easter ceasefire violations,"Russia and Ukraine accused each other of violating a Kremlin-declared Easter ceasefire Sunday, as Orthodox Christians gathered to celebrate the holiday.","KYIV, Ukraine (AP) Russia and Ukraine accused each other of violating a Kremlin-declared Easter ceasefire Sunday, as Orthodox Christians gathered to celebrate the holiday despite Moscow's 4-year-long… [+2863 chars]",PBS,"Derek Gatopoulos, Associated Press, Vasilisa Stepanenko, Associated Press",https://www.pbs.org/newshour/world/russia-and-ukraine-accuse-each-other-of-easter-ceasefire-violations,2026-04-12T16:52:15Z,https://d3i6fh83elv35t.cloudfront.net/static/2026/04/2026-04-12T072216Z_1014104662_RC29NKA7EPXU_RTRMADP_3_RELIGION-EASTER-ORTHODOX-PUTIN-1024x683.jpg,Ukraine war,2026-04-14T00:25:50.254863
"“Hungary offers an opt-out, which Brussels does not want to allow”—Political Analyst Zoltán Kiszelly",Hungary’s Prime Minister Viktor Orbán speaks during a press conference next to President of the European Council António Costa (C) and President of the European Commission Ursula von der Leyen (R) following the European Council meeting at the EU headquarters …,"Skip to comments.
Hungary offers an opt-out, which Brussels does not want to allowPolitical Analyst Zoltán KiszellyThe European Conservative ^
 | 10 Apr, 2026
 | Zoltán Kottász
Posted on 04/12/20… [+9364 chars]",Freerepublic.com,The European Conservative,https://freerepublic.com/focus/f-chat/4374621/posts,2026-04-12T16:46:22Z,,Ukraine war,2026-04-14T00:25:50.254864
